Year,Name,Position,Date of Birth,Caps,Club
1938,Sven Unger,4FW,,0,IK Sleipner
1938,Gustav Wetterström,4FW,(1911-10-15)15 October 1911 (aged 26),4,IK Sleipner
1938,Jaroslav Bouček,3MF,(1912-11-13)13 November 1912 (aged 25),22,AC Sparta Prague
1938,Vojtěch Bradáč,4FW,(1913-10-06)6 October 1913 (aged 24),7,SK Slavia Prague
1938,Jaroslav Burgr,2DF,(1906-03-07)7 March 1906 (aged 32),51,AC Sparta Prague
1938,Karel Burkert,1GK,(1909-12-01)1 December 1909 (aged 28),1,SK Židenice
1938,Karel Černý,2DF,(1910-02-01)1 February 1910 (aged 28),,SK Slavia Prague
1938,Ferdinand Daučík,2DF,(1910-05-30)30 May 1910 (aged 28),10,SK Slavia Prague
1938,Václav Horák,4FW,(1912-09-27)27 September 1912 (aged 25),9,SK Slavia Prague
1938,Karel Kolský,3MF,(1914-09-21)21 September 1914 (aged 23),10,AC Sparta Prague
1938,Vlastimil Kopecký,3MF,(1912-10-14)14 October 1912 (aged 25),13,SK Slavia Prague
1938,Josef Košťálek,3MF,(1909-08-31)31 August 1909 (aged 28),36,AC Sparta Prague
1938,Arnošt Kreuz,4FW,(1912-05-09)9 May 1912 (aged 26),2,SK Pardubice
1938,Josef Ludl,4FW,(1916-06-03)3 June 1916 (aged 22),3,Viktoria Žižkov
1938,Oldřich Nejedlý,4FW,(1909-12-26)26 December 1909 (aged 28),38,AC Sparta Prague
1938,Otakar Nožíř,3MF,(1917-03-12)12 March 1917 (aged 21),0,SK Slavia Prague
1938,Josef Orth,2DF,(1916-05-20)20 May 1916 (aged 22),,ŠK Slovan Bratislava
1938,František Plánička,1GK,(1904-06-02)2 June 1904 (aged 34),71,SK Slavia Prague
1938,Antonín Puč,4FW,(1907-05-16)16 May 1907 (aged 31),59,SK Slavia Prague
1938,Jan Říha,4FW,(1915-11-11)11 November 1915 (aged 22),9,AC Sparta Prague
1938,Oldřich Rulc,4FW,(1911-03-28)28 March 1911 (aged 27),15,SK Židenice
1938,Karel Senecký,4FW,(1919-03-17)17 March 1919 (aged 19),2,AC Sparta Prague
1938,Ladislav Šimůnek,4FW,(1916-10-04)4 October 1916 (aged 21),2,SK Slavia Prague
1938,Josef Zeman,4FW,(1915-01-23)23 January 1915 (aged 23),3,AC Sparta Prague
1938,André Abegglen,4FW,(1909-03-07)7 March 1909 (aged 29),40,Servette
1938,Georges Aeby,4FW,(1910-09-10)10 September 1910 (aged 27),20,Servette
1938,Paul Aeby,4FW,(1910-09-10)10 September 1910 (aged 27),13,Young Boys Bern
1938,Lauro Amadò,4FW,(1912-03-14)14 March 1912 (aged 26),14,FC Lugano
1938,Erwin Ballabio,1GK,(1918-10-20)20 October 1918 (aged 19),0,FC Grenchen
1938,Alfred Bickel,4FW,(1918-05-02)2 May 1918 (aged 20),20,Grasshopper Club Zürich
1938,Renato Bizzozero,1GK,(1912-09-07)7 September 1912 (aged 25),19,FC Lugano
1938,Alessandro Frigerio,4FW,(1914-11-15)15 November 1914 (aged 23),10,Le Havre AC
1938,Tullio Grassi,4FW,(1910-02-05)5 February 1910 (aged 28),6,FC Lugano
1938,Albert Guinchard,3MF,(1914-11-10)10 November 1914 (aged 23),10,Servette
1938,Willy Huber,1GK,(1913-12-17)17 December 1913 (aged 24),11,Grasshopper Club Zürich
1938,Leopold Kielholz,4FW,(1911-06-09)9 June 1911 (aged 26),17,SC YF Juventus
1938,August Lehmann,2DF,(1909-01-26)26 January 1909 (aged 29),17,Grasshopper Club Zürich
1938,Ernst Lörtscher,3MF,(1913-03-15)15 March 1913 (aged 25),18,Servette
1938,Severino Minelli,2DF,(1909-09-06)6 September 1909 (aged 28),64,Grasshopper Club Zürich
1938,Oscar Rauch,3MF,(1914-03-20)20 March 1914 (aged 24),3,Grasshopper Club Zürich
1938,Eugen Rupf,4FW,(1914-06-16)16 June 1914 (aged 23),6,Grasshopper Club Zürich
1938,Hermann Springer,3MF,(1908-12-04)4 December 1908 (aged 29),19,Grasshopper Club Zürich
1938,Adolf Stelzer,2DF,(1908-09-01)1 September 1908 (aged 29),14,Lausanne Sports
1938,Sirio Vernati,3MF,(1907-05-12)12 May 1907 (aged 31),20,Grasshopper Club Zürich
1938,Fritz Wagner,4FW,(1913-12-21)21 December 1913 (aged 24),8,Grasshopper Club Zürich
1938,Eugen Walaschek,4FW,(1916-06-20)20 June 1916 (aged 21),12,Servette
1938,Juan Alonzo,4FW,(1911-06-24)24 June 1911 (aged 26),0,Centro Gallego
1938,Joaquín Arias,3MF,(1914-11-12)12 November 1914 (aged 23),0,Juventud Asturiana
1938,Juan Ayra,1GK,(1911-06-23)23 June 1911 (aged 26),5,Hispano America
1938,Jacinto Barquín,2DF,(1915-09-03)3 September 1915 (aged 22),5,Juventud Asturiana
1938,Pedro Bergés,3MF,1906,0,Iberia Havana
1938,Benito Carvajales,1GK,(1913-07-25)25 July 1913 (aged 24),0,Centro Gallego
1938,Manuel Chorens,2DF,(1916-01-22)22 January 1916 (aged 22),0,Centro Gallego
1938,Tomás Fernández,4FW,1915,0,Centro Gallego
1938,Pedro Ferrer,4FW,1908,1,Iberia Havana
1938,José Magriñá,4FW,(1917-12-14)14 December 1917 (aged 20),3,Centro Gallego
1938,Carlos Oliveira,4FW,,0,Hispano America
1938,José Antonio Rodríguez,3MF,,0,Centro Gallego
1938,Héctor Socorro,4FW,(1912-06-26)26 June 1912 (aged 25),6,Iberia Habana
1938,Mario Sosa,4FW,1910,5,Iberia Havana
1938,Juan Tuñas,4FW,(1917-07-17)17 July 1917 (aged 20),0,Centro Gallego
1938,Alfred Aston,4FW,(1912-05-16)16 May 1912 (aged 26),15,Red Star Olympique
1938,Jean Bastien,3MF,(1915-06-21)21 June 1915 (aged 22),0,Olympique de Marseille
1938,Abdelkader Ben Bouali,2DF,(1912-10-25)25 October 1912 (aged 25),1,Olympique de Marseille
1938,François Bourbotte,3MF,(1913-02-24)24 February 1913 (aged 25),9,SC Fives
1938,Michel Brusseaux,4FW,(1913-03-19)19 March 1913 (aged 25),1,FC Sète
1938,Hector Cazenave,2DF,(1914-04-13)13 April 1914 (aged 24),6,FC Sochaux-Montbéliard
1938,Roger Courtois,4FW,(1912-05-30)30 May 1912 (aged 26),19,FC Sochaux-Montbéliard
1938,Julien Darui,1GK,(1916-02-16)16 February 1916 (aged 22),0,Olympique Lillois
1938,Edmond Delfour,4FW,(1907-11-01)1 November 1907 (aged 30),39,RC Roubaix
1938,Laurent Di Lorto,1GK,(1909-01-01)1 January 1909 (aged 29),9,FC Sochaux-Montbéliard
1938,Raoul Diagne,3MF,(1910-11-10)10 November 1910 (aged 27),11,RC Paris
1938,Oscar Heisserer,4FW,(1914-07-18)18 July 1914 (aged 23),6,RC Strasbourg
1938,Lucien Jasseron,3MF,(1913-12-29)29 December 1913 (aged 24),0,Le Havre AC
1938,Auguste Jordan,3MF,(1909-02-21)21 February 1909 (aged 29),3,RC Paris
1938,Ignace Kowalczyk,4FW,(1913-12-27)27 December 1913 (aged 24),5,FC Metz
1938,René Llense,1GK,(1913-07-14)14 July 1913 (aged 24),9,FC Sète
1938,Étienne Mattler,2DF,(1905-12-25)25 December 1905 (aged 32),38,FC Sochaux-Montbéliard
1938,Jean Nicolas,4FW,(1913-06-09)9 June 1913 (aged 24),22,FC Rouen
1938,Martin Povolny,2DF,(1914-07-19)19 July 1914 (aged 23),0,Le Havre AC
1938,Jules Vandooren,2DF,(1908-12-30)30 December 1908 (aged 29),14,Olympique Lillois
1938,Émile Veinante,4FW,(1907-06-12)12 June 1907 (aged 30),18,RC Paris
1938,Mario Zatelli,4FW,(1912-12-21)21 December 1912 (aged 25),0,Olympique de Marseille
1938,Iuliu Baratky,4FW,(1910-05-14)14 May 1910 (aged 28),10,Rapid București
1938,Andrei Bărbulescu,3MF,(1917-03-25)25 March 1917 (aged 21),2,Venus București
1938,Silviu Bindea,4FW,(1912-10-24)24 October 1912 (aged 25),18,Ripensia Timişoara
1938,Iuliu Bodola,4FW,(1912-02-26)26 February 1912 (aged 26),39,Venus București
1938,Ion Bogdan,4FW,(1915-03-06)6 March 1915 (aged 23),1,Rapid București
1938,Gheorghe Brandabura,3MF,(1913-02-23)23 February 1913 (aged 25),4,Juventus București
1938,Rudolf Bürger,2DF,(1908-10-31)31 October 1908 (aged 29),27,Ripensia Timişoara
1938,Vasile Chiroiu,2DF,(1910-08-13)13 August 1910 (aged 27),5,Ripensia Timişoara
1938,Vintilă Cossini,3MF,(1913-11-21)21 November 1913 (aged 24),12,Rapid București
1938,Mircea David,1GK,(1914-10-16)16 October 1914 (aged 23),4,Venus București
1938,Ștefan Dobay,4FW,(1909-09-26)26 September 1909 (aged 28),33,Ripensia Timişoara
1938,Coloman Braun-Bogdan,4FW,(1905-10-13)13 October 1905 (aged 32),-,Juventus București
1938,Iacob Felecan,2DF,(1914-03-01)1 March 1914 (aged 24),4,Victoria Cluj
1938,Nicolae Kovács,4FW,(1911-10-29)29 October 1911 (aged 26),35,CAO Oradea
1938,Ioachim Moldoveanu,4FW,(1913-08-17)17 August 1913 (aged 24),3,Rapid București
1938,Miklós Nagy,4FW,(1918-01-11)11 January 1918 (aged 20),0,Crişana Oradea
1938,Dumitru Pavlovici,1GK,(1912-04-26)26 April 1912 (aged 26),8,Ripensia Timişoara
1938,Gyula Prassler,4FW,(1916-01-16)16 January 1916 (aged 22),1,AMEF Arad
1938,Gheorghe Rășinaru,3MF,(1915-02-10)10 February 1915 (aged 23),1,Rapid București
1938,László Raffinsky,3MF,(1905-04-23)23 April 1905 (aged 33),18,Rapid București
1938,Robert Sadowski,1GK,(1914-08-16)16 August 1914 (aged 23),1,AMEF Arad
1938,Lazăr Sfera,2DF,(1909-04-29)29 April 1909 (aged 29),5,Venus București
1938,Fritz Buchloh,1GK,(1909-11-26)26 November 1909 (aged 28),17,VfB Speldorf
1938,Josef Gauchel,4FW,(1916-09-11)11 September 1916 (aged 21),6,TuS Koblenz-Neuendorf
1938,Rudolf Gellesch,4FW,(1914-05-01)1 May 1914 (aged 24),14,FC Schalke 04
1938,Ludwig Goldbrunner,2DF,(1908-03-05)5 March 1908 (aged 30),31,FC Bayern Munchen
1938,Wilhelm Hahnemann,4FW,(1914-04-14)14 April 1914 (aged 24),0,Admira Wien[F]
1938,Hans Jakob,1GK,(1908-06-16)16 June 1908 (aged 29),35,Jahn Regensburg
1938,Paul Janes,2DF,(1912-03-10)10 March 1912 (aged 26),34,Fortuna Düsseldorf
1938,Albin Kitzinger,3MF,(1912-02-01)1 February 1912 (aged 26),18,1. FC Schweinfurt 05
1938,Andreas Kupfer,3MF,(1914-05-07)7 May 1914 (aged 24),10,1. FC Schweinfurt 05
1938,Ernst Lehner,4FW,(1912-11-07)7 November 1912 (aged 25),39,Schwaben Augsburg
1938,Hans Mock,3MF,(1906-12-09)9 December 1906 (aged 31),0,SC Ostmark Wien[F]
1938,Reinhold Münzenberg,2DF,(1909-01-25)25 January 1909 (aged 29),39,Alemannia Aachen
1938,Leopold Neumer,4FW,(1919-02-08)8 February 1919 (aged 19),0,SC Ostmark Wien[F]
1938,Hans Pesser,4FW,(1911-11-07)7 November 1911 (aged 26),1,Rapid Wien[F]
1938,Rudolf Raftl,1GK,(1911-02-07)7 February 1911 (aged 27),0,Rapid Wien[F]
1938,Willibald Schmaus,2DF,(1911-06-16)16 June 1911 (aged 26),0,First Vienna[F]
1938,Otto Siffling,4FW,(1912-08-03)3 August 1912 (aged 25),31,Waldhof Mannheim
1938,Stefan Skoumal,3MF,(1909-11-29)29 November 1909 (aged 28),0,Rapid Wien[F]
1938,Jakob Streitle,2DF,(1916-12-11)11 December 1916 (aged 21),0,FC Bayern Munchen
1938,Josef Stroh,4FW,(1913-03-05)5 March 1913 (aged 25),0,SC Ostmark Wien[F]
1938,Fritz Szepan,4FW,(1907-09-02)2 September 1907 (aged 30),30,FC Schalke 04
1938,Franz Wagner,3MF,(1911-09-23)23 September 1911 (aged 26),0,Rapid Wien[F]
1938,Stanisław Baran,4FW,(1920-04-26)26 April 1920 (aged 18),0,Warszawianka Warszawa
1938,Walter Brom,1GK,(1921-02-14)14 February 1921 (aged 17),0,Ruch Chorzów
1938,Ewald Cebula,4FW,(1917-03-22)22 March 1917 (aged 21),0,Śląsk Świętochłowice
1938,Ewald Dytko,3MF,(1914-10-18)18 October 1914 (aged 23),16,Dąb Katowice
1938,Antoni Gałecki,2DF,(1906-06-04)4 June 1906 (aged 32),16,ŁKS Łódź
1938,Edmund Giemsa,2DF,(1912-10-16)16 October 1912 (aged 25),6,Ruch Chorzów
1938,Wilhelm Góra,3MF,(1916-01-18)18 January 1916 (aged 22),8,Cracovia
1938,Bolesław Habowski,4FW,(1914-09-13)13 September 1914 (aged 23),1,Wisła Kraków
1938,Józef Korbas,4FW,(1914-11-11)11 November 1914 (aged 23),1,Cracovia
1938,Kazimierz Lis,3MF,(1910-04-09)9 April 1910 (aged 28),0,Warta Poznań
1938,Antoni Łyko,4FW,(1907-05-27)27 May 1907 (aged 31),1,Wisła Kraków
1938,Edward Madejski,1GK,(1914-08-11)11 August 1914 (aged 23),6,Wisła Kraków
1938,Erwin Nyc,3MF,(1914-05-24)24 May 1914 (aged 24),4,Polonia Warszawa
1938,Leonard Piątek,4FW,(1913-10-03)3 October 1913 (aged 24),9,AKS Chorzów
1938,Ryszard Piec,4FW,(1913-08-17)17 August 1913 (aged 24),18,Naprzód Lipiny
1938,Wilhelm Piec,3MF,(1915-01-07)7 January 1915 (aged 23),3,Naprzód Lipiny
1938,Fryderyk Scherfke,4FW,(1909-09-07)7 September 1909 (aged 28),12,Warta Poznań
1938,Władysław Szczepaniak,2DF,(1910-05-19)19 May 1910 (aged 28),22,Polonia Warszawa
1938,Edmund Twórz,2DF,(1914-02-12)12 February 1914 (aged 24),2,Warta Poznań
1938,Jan Wasiewicz,3MF,(1911-01-06)6 January 1911 (aged 27),14,Pogoń Lwów
1938,Ernst Wilimowski,4FW,(1916-06-23)23 June 1916 (aged 21),14,Ruch Chorzów
1938,Gerard Wodarz,4FW,(1913-08-10)10 August 1913 (aged 24),24,Ruch Chorzów
1938,Arne Brustad,4FW,(1912-04-14)14 April 1912 (aged 26),19,Lyn
1938,Knut Brynildsen,4FW,(1917-07-23)23 July 1917 (aged 20),1,Fredrikstad
1938,Nils Eriksen,2DF,(1911-03-05)5 March 1911 (aged 27),34,Odd
1938,Odd Frantzen,4FW,(1913-01-20)20 January 1913 (aged 25),14,Hardy
1938,Kristian Henriksen,3MF,(1911-03-03)3 March 1911 (aged 27),12,Lyn
1938,Rolf Holmberg,3MF,(1914-08-24)24 August 1914 (aged 23),18,Odd
1938,Øivind Holmsen,2DF,(1912-04-28)28 April 1912 (aged 26),22,Lyn
1938,Arne Ileby,4FW,(1913-12-02)2 December 1913 (aged 24),0,Fredrikstad
1938,Magnar Isaksen,4FW,(1910-10-13)13 October 1910 (aged 27),12,Lyn
1938,Rolf Johannessen,2DF,(1910-03-15)15 March 1910 (aged 28),11,Fredrikstad
1938,Henry Johansen,1GK,(1904-07-21)21 July 1904 (aged 33),44,Vålerengen
1938,Jørgen Juve,2DF,(1906-11-22)22 November 1906 (aged 31),45,Lyn
1938,Reidar Kvammen,4FW,(1914-07-23)23 July 1914 (aged 23),29,Viking
1938,Sverre Nordby,1GK,(1910-03-13)13 March 1910 (aged 28),2,Mjøndalen
1938,Roald Amundsen,2DF,(1913-09-18)18 September 1913 (aged 24),0,Mjøndalen
1938,Oddmund Andersen,2DF,(1915-12-21)21 December 1915 (aged 22),1,Mjøndalen
1938,Gunnar Andreassen,3MF,(1913-01-05)5 January 1913 (aged 25),0,Fredrikstad
1938,Hjalmar Andresen,4FW,(1914-07-18)18 July 1914 (aged 23),0,Sarpsborg
1938,Sigurd Hansen,3MF,(1913-06-23)23 June 1913 (aged 24),0,Fram Larvik
1938,Anker Kihle,1GK,(1917-04-19)19 April 1917 (aged 21),0,Storm
1938,Alf Martinsen,4FW,(1911-12-29)29 December 1911 (aged 26),17,Lillestrøm
1938,Sverre Berglie,3MF,(1910-10-21)21 October 1910 (aged 27),0,Drafn
1938,Arnold Badjou,1GK,(1909-06-26)26 June 1909 (aged 28),29,Daring Club de Bruxelles Societe Royale
1938,Robert Braet,1GK,(1912-02-11)11 February 1912 (aged 26),14,Cercle Brugge
1938,Raymond Braine,4FW,(1907-04-28)28 April 1907 (aged 31),47,Royal Beerschot AC
1938,Fernand Buyle,4FW,(1918-03-03)3 March 1918 (aged 20),10,Daring Club de Bruxelles Societe Royale
1938,Jean Capelle,4FW,(1913-10-26)26 October 1913 (aged 24),30,Royal Standard Club Liège
1938,Arthur Ceuleers,4FW,(1916-02-28)28 February 1916 (aged 22),4,Royal Beerschot AC
1938,Pierre Dalem,3MF,(1912-03-16)16 March 1912 (aged 26),22,Royal Standard Club Liège
1938,Alfons De Winter,3MF,(1908-09-12)12 September 1908 (aged 29),18,Royal Beerschot AC
1938,Jean Fievez,4FW,(1910-11-30)30 November 1910 (aged 27),4,White Star Brüssel
1938,Frans Gommers,2DF,(1917-04-05)5 April 1917 (aged 21),1,Royal Beerschot AC
1938,Paul Henry,3MF,(1912-09-06)6 September 1912 (aged 25),1,Daring Club de Bruxelles Societe Royale
1938,Hendrik Isemborghs,4FW,(1914-01-30)30 January 1914 (aged 24),11,Royal Beerschot AC
1938,Joseph Nelis,4FW,(1917-04-01)1 April 1917 (aged 21),0,Berchem Sport
1938,Robert Paverick,2DF,(1912-11-29)29 November 1912 (aged 25),26,Royal Antwerp F.C.
1938,Jean Petit,2DF,(1914-02-25)25 February 1914 (aged 24),4,Royal Standard Club Liege
1938,Corneel Seys,2DF,(1912-02-12)12 February 1912 (aged 26),1,Royal Beerschot AC
1938,Philibert Smellinckx,2DF,(1911-01-17)17 January 1911 (aged 27),19,Union Royale Saint-Gilloise
1938,Émile Stijnen,3MF,(1907-11-02)2 November 1907 (aged 30),25,Royal Olympic Club de Charleroi
1938,John Van Alphen,3MF,(1914-06-17)17 June 1914 (aged 23),4,Royal Beerschot AC
1938,Charles Vanden Wouwer,4FW,(1916-09-07)7 September 1916 (aged 21),5,Royal Beerschot AC
1938,André Vandeweyer,1GK,(1909-06-21)21 June 1909 (aged 28),5,Union Royale Saint-Gilloise
1938,Bernard Voorhoof,4FW,(1910-05-10)10 May 1910 (aged 28),54,KSK Liersche
1938,Wim Anderiesen,3MF,(1903-11-27)27 November 1903 (aged 34),40,Ajax Amsterdam
1938,Dick Been,2DF,(1909-07-02)2 July 1909 (aged 28),0,Ajax Amsterdam
1938,Bertus Caldenhove,2DF,(1914-01-19)19 January 1914 (aged 24),18,DWS
1938,Piet de Boer,4FW,(1919-10-10)10 October 1919 (aged 18),1,KFC (Kooger FC)
1938,Bertus de Harder,4FW,(1920-01-14)14 January 1920 (aged 18),1,VUC Den Haag
1938,Arie de Winter,4FW,(1913-10-27)27 October 1913 (aged 24),0,HFC Haarlem
1938,Daaf Drok,4FW,(1914-05-23)23 May 1914 (aged 24),7,RFC Rotterdam
1938,Frans Hogenbirk,3MF,(1919-03-18)18 March 1919 (aged 19),0,Be Quick 1887
1938,Niek Michel,1GK,(1912-09-30)30 September 1912 (aged 25),0,VSV Velsen
1938,Klaas Ooms,4FW,(1916-06-09)9 June 1916 (aged 21),0,DWB
1938,Bas Paauwe,3MF,(1911-10-04)4 October 1911 (aged 26),21,SC Feyenoord Rotterdam
1938,René Pijpers,3MF,(1917-09-15)15 September 1917 (aged 20),0,RFC Roermond
1938,Hendrikus Plenter,2DF,(1913-06-23)23 June 1913 (aged 24),0,Be Quick 1887
1938,Piet Punt,4FW,(1909-02-06)6 February 1909 (aged 29),1,DFC Dordrecht
1938,Kick Smit,4FW,(1911-11-03)3 November 1911 (aged 26),21,HFC Haarlem
1938,Frans van der Veen,4FW,(1918-03-25)25 March 1918 (aged 20),1,Heracles Almelo
1938,Puck van Heel,3MF,(1904-01-21)21 January 1904 (aged 34),62,SC Feyenoord Rotterdam
1938,Adri van Male,1GK,(1910-10-07)7 October 1910 (aged 27),9,SC Feyenoord Rotterdam
1938,Henk van Spaandonck,4FW,(1913-06-25)25 June 1913 (aged 24),7,Neptunus Rotterdam
1938,Leen Vente,4FW,(1911-05-14)14 May 1911 (aged 27),14,SC Feyenoord Rotterdam
1938,Mauk Weber,2DF,(1914-03-01)1 March 1914 (aged 24),25,ADO Den Haag
1938,Frank Wels,4FW,(1909-02-21)21 February 1909 (aged 29),35,Unitas Gorinchem
1938,Sutan Anwar,3MF,(1914-03-21)21 March 1914 (aged 24),0,VIOS Batavia
1938,Leen van Beuzekom,1GK,,0,Hercules Batavia
1938,Gerrit Faulhaber,3MF,(1912-09-22)22 September 1912 (aged 25),0,Go Ahead Semarang
1938,Jan Harting,2DF,,0,HBS Soerabaja
1938,Frans G. Hukom,2DF,(1915-09-28)28 September 1915 (aged 22),0,Sparta Bandung
1938,Frans Meeng,3MF,(1910-01-18)18 January 1910 (aged 28),2,SVBB Batavia
1938,Achmad Nawir,3MF,(1912-06-30)30 June 1912 (aged 25),0,HBS Soerabaja
1938,"Isaak ""Tjaak"" Pattiwael",4FW,(1914-02-23)23 February 1914 (aged 24),0,Jong Ambon Batavia
1938,Jack Samuels,2DF,(1918-03-29)29 March 1918 (aged 20),0,Excelsior Soerabaja
1938,Suvarte Soedarmadji,4FW,(1915-12-06)6 December 1915 (aged 22),0,HBS Soerabaja
1938,M.J. Hans Taihuttu,4FW,1909,0,Jong Ambon Batavia
1938,Tan Hong Djien,4FW,(1916-01-12)12 January 1916 (aged 22),3,Tiong Hoa Soerabaja
1938,"Tan ""Bing"" Mo Heng",1GK,(1913-02-28)28 February 1913 (aged 25),0,HCTNH Soerabaja
1938,Tan See Han,4FW,1910,0,Gie Hoo Soerabaja
1938,Rudi Telwe,4FW,,0,HBS Soerabaja
1938,G. Van Den Burgh,3MF,,0,SVV Semarang
1938,"Hendrikus V. ""Henk"" Zomers",4FW,(1912-11-19)19 November 1912 (aged 25),0,Hercules Batavia
1950,Barbosa,1GK,(1921-03-27)27 March 1921 (aged 29),13,Vasco da Gama
1950,Augusto,2DF,(1920-10-22)22 October 1920 (aged 29),12,Vasco da Gama
1950,Nílton Santos,2DF,(1925-05-16)16 May 1925 (aged 25),5,Botafogo
1950,Bauer,3MF,(1925-11-21)21 November 1925 (aged 24),6,São Paulo
1950,Danilo,3MF,(1920-12-03)3 December 1920 (aged 29),15,Vasco da Gama
1950,Bigode,3MF,(1922-04-04)4 April 1922 (aged 28),5,Flamengo
1950,Friaça,4FW,(1924-10-20)20 October 1924 (aged 25),6,São Paulo
1950,Zizinho,4FW,(1922-09-14)14 September 1922 (aged 27),30,Bangu
1950,Ademir,4FW,(1922-11-06)6 November 1922 (aged 27),25,Vasco da Gama
1950,Jair,4FW,(1921-03-21)21 March 1921 (aged 29),32,Palmeiras
1950,Chico,4FW,(1922-01-07)7 January 1922 (aged 28),15,Vasco da Gama
1950,Adãozinho,4FW,(1923-04-02)2 April 1923 (aged 27),2,Internacional
1950,Alfredo,4FW,(1920-01-01)1 January 1920 (aged 30),3,Vasco da Gama
1950,Baltazar,4FW,(1926-01-14)14 January 1926 (aged 24),4,Corinthians
1950,Castilho,1GK,(1927-11-27)27 November 1927 (aged 22),2,Fluminense
1950,Ely,3MF,(1921-05-14)14 May 1921 (aged 29),9,Vasco da Gama
1950,Juvenal,2DF,(1923-11-27)27 November 1923 (aged 26),4,Flamengo
1950,Maneca,4FW,(1926-01-28)28 January 1926 (aged 24),2,Vasco da Gama
1950,Nena,2DF,(1921-03-27)27 March 1921 (aged 29),5,Internacional
1950,Noronha,3MF,(1918-09-25)25 September 1918 (aged 31),15,São Paulo
1950,Rodrigues,4FW,(1925-06-27)27 June 1925 (aged 24),2,Fluminense
1950,Rui,3MF,(1922-08-02)2 August 1922 (aged 27),27,São Paulo
1950,Charles Antenen,4FW,(1929-11-03)3 November 1929 (aged 20),9,FC La Chaux-de-Fonds
1950,René Bader,4FW,(1922-08-07)7 August 1922 (aged 27),6,FC Basel
1950,Walter Beerli,4FW,(1928-07-23)23 July 1928 (aged 21),1,Young Boys Bern
1950,Alfred Bickel,4FW,(1918-05-02)2 May 1918 (aged 32),60,Grasshoppers Club Zurich
1950,Roger Bocquet,2DF,(1921-04-09)9 April 1921 (aged 29),24,Lausanne-Sport
1950,Eugen Corrodi,1GK,(1922-07-02)2 July 1922 (aged 27),10,FC Lugano
1950,Oliver Eggimann,3MF,(1919-01-28)28 January 1919 (aged 31),20,Servette FC
1950,Jacques Fatton,4FW,(1925-12-19)19 December 1925 (aged 24),24,Servette FC
1950,Hans-Peter Friedländer,4FW,(1920-11-06)6 November 1920 (aged 29),14,Lausanne-Sport
1950,Rudolf Gyger,2DF,(1920-04-16)16 April 1920 (aged 30),24,Cantonal Neuchâtel
1950,Robert Hasler,3MF,(1919-01-01)1 January 1919 (aged 31),1,FC Lugano
1950,Adolphe Hug,1GK,(1923-09-23)23 September 1923 (aged 26),1,Urania Genf
1950,Willy Kernen,2DF,(1929-08-06)6 August 1929 (aged 20),0,FC La Chaux-de-Fonds
1950,Gerhard Lusenti,4FW,(1921-04-24)24 April 1921 (aged 29),9,AC Bellinzona
1950,André Neury,2DF,(1921-09-03)3 September 1921 (aged 28),9,FC Locarno
1950,Roger Quinche,3MF,(1922-07-22)22 July 1922 (aged 27),3,FC Bern
1950,Kurt Rey,2DF,(1923-12-10)10 December 1923 (aged 26),1,SC Young Fellows
1950,Walter Schneiter,4FW,18 June 1918 (age 32),3,FC Zurich
1950,Hans Siegenthaler,4FW,5 February 1923 (age 27),1,SC Young Fellows
1950,Willi Steffen,2DF,(1923-05-24)24 May 1923 (aged 27),24,Cantonal Neuchâtel
1950,Georges Stuber,1GK,(1925-05-11)11 May 1925 (aged 25),3,Lausanne-Sport
1950,Jean Tamini,4FW,(1919-12-09)9 December 1919 (aged 30),17,Servette FC
1950,Aleksandar Atanacković,3MF,(1920-04-29)29 April 1920 (aged 30),15,Partizan Belgrade
1950,Vladimir Beara,1GK,(1928-11-02)2 November 1928 (aged 21),0,Hajduk Split
1950,Stjepan Bobek,4FW,(1923-12-03)3 December 1923 (aged 26),26,Partizan Belgrade
1950,Božo Broketa,2DF,(1921-12-24)24 December 1921 (aged 28),3,Hajduk Split
1950,Željko Čajkovski,4FW,(1925-05-05)5 May 1925 (aged 25),16,Dinamo Zagreb
1950,Zlatko Čajkovski,3MF,(1923-11-24)24 November 1923 (aged 26),25,Partizan Belgrade
1950,Ratko Čolić,2DF,(1918-03-17)17 March 1918 (aged 32),6,Partizan Belgrade
1950,Predrag Đajić,3MF,(1922-05-01)1 May 1922 (aged 28),5,Red Star Belgrade
1950,Vladimir Firm,4FW,(1923-06-05)5 June 1923 (aged 27),3,Partizan Belgrade
1950,Ivica Horvat,2DF,(1926-07-16)16 July 1926 (aged 23),13,Dinamo Zagreb
1950,Miodrag Jovanović,2DF,(1922-01-17)17 January 1922 (aged 28),18,Partizan Belgrade
1950,Ervin Katnić,3MF,(1921-09-02)2 September 1921 (aged 28),0,Hajduk Split
1950,Prvoslav Mihajlović,4FW,(1921-04-13)13 April 1921 (aged 29),12,Partizan Belgrade
1950,Rajko Mitić,4FW,(1922-09-06)6 September 1922 (aged 27),19,Red Star Belgrade
1950,Srđan Mrkušić,1GK,(1915-06-26)26 June 1915 (aged 34),4,Red Star Belgrade
1950,Tihomir Ognjanov,4FW,(1927-03-02)2 March 1927 (aged 23),2,Red Star Belgrade
1950,Bela Palfi,3MF,(1923-02-16)16 February 1923 (aged 27),1,Red Star Belgrade
1950,Ivo Radovniković,3MF,(1918-02-09)9 February 1918 (aged 32),0,Hajduk Split
